datetime,open,high,low,close,vol,band_10,band_9,band_8,band_7,band_6,band_5,mrs_close,RP,MRP,band_4,band_3,band_2,band_1,score
2004-05-27,112.54,113.03,112.06,112.87,44768600.0,G,G,G,G,G,G,112.07326923076924,100.0,0.0,G,G,G,B,9.0
2004-05-28,112.73,112.88,112.36,112.86,22267200.0,,G,G,G,G,G,112.09384615384616,100.0,0.0,G,G,G,B,8.0
2004-06-01,112.46,112.86,111.87,112.71,41023900.0,,G,G,G,G,G,112.0875,100.0,0.0,G,G,G,B,8.0
2004-06-02,113.03,113.48,112.46,113.13,39706200.0,G,G,G,G,G,G,112.08865384615385,100.0,0.0,G,G,G,B,9.0
2004-06-03,112.81,113.19,112.07,112.09,38427100.0,,G,G,G,G,G,112.10846153846154,100.0,0.0,B,G,G,B,7.0
2004-06-04,112.98,113.58,112.71,112.98,32602200.0,,G,G,G,G,G,112.17249999999999,100.0,0.0,B,G,G,B,7.0
2004-06-07,113.43,114.81,113.42,114.7,31636300.0,G,G,G,G,G,G,112.27211538461539,100.0,0.0,G,G,G,B,9.0
2004-06-08,114.37,114.92,114.17,114.86,32734000.0,G,G,G,G,G,G,112.37423076923076,100.0,0.0,G,G,G,B,9.0
2004-06-09,114.51,114.7,113.72,113.79,36518600.0,,G,G,G,G,G,112.42788461538461,100.0,0.0,B,G,G,B,7.0
2004-06-10,114.04,114.35,113.93,114.35,21566200.0,,G,G,G,G,G,112.49173076923078,100.0,0.0,B,G,G,B,7.0
2004-06-14,113.82,113.85,112.87,113.22,34462100.0,,G,G,R,G,G,112.50384615384615,100.0,0.0,B,G,G,B,6.0
2004-06-15,113.9,114.445,113.51,114.02,36950200.0,,G,G,G,G,G,112.52403846153847,100.0,0.0,B,G,G,B,7.0
2004-06-16,114.0,114.2,113.7,114.0,26594800.0,,G,G,G,G,G,112.54134615384616,100.0,0.0,B,G,G,B,7.0
2004-06-17,113.85,114.07,113.33,113.83,28339700.0,,G,G,G,G,G,112.54230769230769,100.0,0.0,B,G,G,B,7.0
2004-06-18,113.27,114.22,113.18,113.63,31593900.0,,G,G,R,G,G,112.52288461538463,100.0,0.0,B,G,R,B,5.0
2004-06-21,113.75,114.14,113.13,113.2,24743900.0,,G,G,R,G,G,112.48307692307692,100.0,0.0,B,G,R,B,5.0
2004-06-22,113.13,113.88,112.67,113.77,37141100.0,,G,G,R,G,G,112.46134615384616,100.0,0.0,B,R,G,B,5.0
2004-06-23,113.61,114.84,113.42,114.75,35764800.0,,G,G,G,G,G,112.46365384615386,100.0,0.0,B,G,G,B,7.0
2004-06-24,114.56,114.93,114.26,114.39,38525300.0,,G,G,G,G,G,112.46403846153846,100.0,0.0,G,G,G,B,8.0
2004-06-25,114.41,114.94,113.68,113.84,32683400.0,,G,R,G,G,G,112.4451923076923,100.0,0.0,B,G,R,B,5.0
2004-06-28,114.52,114.61,113.43,113.45,40853700.0,,G,R,G,G,G,112.44980769230769,100.0,0.0,B,R,R,B,4.0
2004-06-29,113.53,114.17,113.42,113.92,28395900.0,,G,G,R,G,G,112.46000000000001,100.0,0.0,R,R,R,B,4.0
2004-06-30,114.07,114.79,113.65,114.53,51150600.0,,G,G,G,G,G,112.4901923076923,100.0,0.0,B,R,G,B,6.0
2004-07-01,114.25,114.4,112.58,112.94,57660700.0,R,G,R,R,G,G,112.47307692307693,100.0,0.0,R,R,R,B,3.0
2004-07-02,113.16,113.29,112.6,112.88,34512400.0,,R,R,R,R,G,112.4548076923077,100.0,0.0,R,R,R,B,1.0
